epoch,method,lr,seconds,loss_det,loss_odam,loss_total_objective,AP,AP50,AP75,AP_small,AP_medium,AP_large,AR1,AR10,AR100,MR-2_generic
0,odam,0.005,562.2739839553833,0.36095111746426223,0.8305728085358228,0.5270656819629557,0.00010687176517111516,0.0005003922345380102,3.3907500339075e-05,0.0,8.030247760559413e-05,0.000509033753837869,0.0006968641114982578,0.0046563192904656315,0.007000316756414318,0.9998591735139546
1,odam,0.005,558.0577099323273,0.26961678531256533,0.715929513505876,0.4128026894543165,6.28434265920861e-05,0.00014560279557367502,1.5791052789489477e-05,0.0,9.235158092025203e-05,0.0,0.0004434589800443459,0.0010136205258156478,0.0010136205258156478,0.9997183556936438
2,odam,0.005,558.3089437484741,0.2563302600768822,0.7275508804717067,0.4018404395250581,0.0001376007420309963,0.00039341682512622126,0.00012984905047881836,0.0,0.0007683130929191991,0.00012150076133052365,0.0006651884700665188,0.0020589166930630345,0.0025023756731073804,0.999083993784588
3,odam,0.005,558.5031182765961,0.2548302878872623,0.6625214793840678,0.3873345860572153,8.260709521150829e-05,0.00017534220954562991,6.923769300006924e-05,0.0,0.0,0.00019889826541008874,0.0007602153943617358,0.0019955654101995565,0.0020272410516312955,0.9995069539575137
4,odam,0.005,560.7969181537628,0.2545631701680725,0.701489785776556,0.3948611301717174,0.0019964753652574403,0.0077144033477142444,0.00029120559114735004,0.0,0.0016064730086782799,0.003906226889487685,0.0025023756731073804,0.016819765600253406,0.024358568261007286,0.9952732090193501
5,odam,0.005,569.6655602455139,0.2530753232167675,0.6606711966455566,0.3852095648566133,0.0018196455639355158,0.008318902939850074,0.000358592653054974,0.0,0.002090079366449896,0.004822028879015083,0.00408615774469433,0.018942033576179917,0.06050047513462148,0.9972112698198801
6,odam,0.005,559.2968769073486,0.2570562248806373,0.6761555483883883,0.3922873364503259,0.0028775078652720637,0.01219487703760504,8.761938140716726e-05,0.0,0.0007943232950000085,0.008069943118633311,0.0029458346531517263,0.016534684827367755,0.024707000316756413,0.9921997122479943
7,odam,0.005,572.1923429965973,0.2587178978382097,0.6568045973327543,0.39007882006757194,0.0028023032358696666,0.010798585812028843,0.0006152587611045572,0.0,0.002243470476108391,0.010926547701849587,0.0032942667089008552,0.02283813747228381,0.057459613557174535,0.9957308079639593
8,odam,0.005,570.9347445964813,0.25606141320629044,0.72363392513393,0.40078820067070536,0.0031258429161989867,0.012368751605323207,0.0005494448858309994,1.3573905795010453e-05,0.0023633693106524653,0.009263980455738363,0.004339562876148242,0.026449160595502057,0.050110864745011086,0.99491514629286
9,odam,0.005,571.8163650035858,0.25630570119835966,0.6606870011924229,0.3884431042910264,0.010342340329394345,0.03139672943035785,0.0011776794043129562,0.00013678778209794888,0.007268023853216519,0.01624050446614433,0.006430155210643015,0.03506493506493506,0.06911624960405448,0.990977336019319
